family,n_antimalarial,n_species,mean,std_err,eff
Simaroubaceae,9,72,0.00797376853714882,0.010481589383602826,11.164931880075795
Strelitziaceae,1,1,0.00797376853714882,0.08893923516910181,11.153977539571747
Menispermaceae,13,190,0.00797376853714882,0.006452330281813245,9.368287340282142
Goupiaceae,1,2,0.00797376853714882,0.06288953630161696,7.823658121807468
Bignoniaceae,22,652,0.00797376853714882,0.003483129268006772,7.398106922956912
Rubiaceae,82,4737,0.00797376853714882,0.0012922355903126801,7.2252812305687835
Siparunaceae,5,53,0.00797376853714882,0.0122167434999929,7.069466106447337
Meliaceae,10,202,0.00797376853714882,0.006257742749517005,6.636767221072841
Zingiberaceae,5,59,0.00797376853714882,0.011578902170132754,6.630334469250929
Dilleniaceae,7,116,0.00797376853714882,0.008257800675967352,6.342010555119523
Hernandiaceae,3,26,0.00797376853714882,0.0174424190635103,6.158024667127226
Arecaceae,22,817,0.00797376853714882,0.0031115899646772297,6.091424723610938
Aristolochiaceae,11,276,0.00797376853714882,0.005353512849314084,5.955211993318382
Myristicaceae,6,108,0.00797376853714882,0.008558181894400059,5.55980085554635
Fabaceae,89,6457,0.00797376853714882,0.0011068225461869842,5.249009670122912
Apocynaceae,38,2136,0.00797376853714882,0.0019243885590130433,5.101097483228847
Icacinaceae,2,18,0.00797376853714882,0.020963178767205652,4.919928590949581
Moraceae,11,364,0.00797376853714882,0.004661682580870709,4.772099193093557
Petiveriaceae,2,20,0.00797376853714882,0.019887417570495163,4.627359542114743
Rutaceae,12,444,0.00797376853714882,0.004220869309843242,4.514060277925504
Gentianaceae,15,631,0.00797376853714882,0.0035406150478049627,4.4619429273696944
Solanaceae,31,1860,0.00797376853714882,0.0020622291353536598,4.215292074237458
Verbenaceae,15,698,0.00797376853714882,0.0033663996974961246,4.015032088913622
Cardiopteridaceae,1,8,0.00797376853714882,0.03144476815080848,3.7216439600252644
Amaranthaceae,11,499,0.00797376853714882,0.003981466973799545,3.5339536235752
Berberidaceae,5,149,0.00797376853714882,0.007286186043707786,3.5112030202426956
Costaceae,3,68,0.00797376853714882,0.010785466495995757,3.3511650641252833
Opiliaceae,1,10,0.00797376853714882,0.028125055648771248,3.272037311217612
Viburnaceae,3,72,0.00797376853714882,0.010481589383602826,3.214483691016011
Picrodendraceae,1,11,0.00797376853714882,0.026816188381553807,3.092733433696761
Sapotaceae,9,424,0.00797376853714882,0.004319271086430828,3.068259966091165
Lecythidaceae,6,232,0.00797376853714882,0.005839146855663371,3.063512679257007
Loganiaceae,5,184,0.00797376853714882,0.006556687406126397,2.92833001133916
Bixaceae,1,13,0.00797376853714882,0.024667305600211284,2.795169829384914
Phytolaccaceae,1,14,0.00797376853714882,0.02377001044603532,2.6695319733023695
Anacardiaceae,5,205,0.00797376853714882,0.006211785632467584,2.6427948961221457
Annonaceae,13,831,0.00797376853714882,0.0030852678848257145,2.486018847176123
Lacistemataceae,1,16,0.00797376853714882,0.022234808792275452,2.452291448613402
Alismataceae,2,53,0.00797376853714882,0.0122167434999929,2.4361713511847287
Linaceae,2,53,0.00797376853714882,0.0122167434999929,2.4361713511847287
Picramniaceae,2,53,0.00797376853714882,0.0122167434999929,2.4361713511847287
Humiriaceae,2,63,0.00797376853714882,0.011205290383511098,2.1215213881350623
Phyllanthaceae,6,329,0.00797376853714882,0.004903378759566857,2.0931104923714066
Olacaceae,2,73,0.00797376853714882,0.010409550114938116,1.865929989515138
Achariaceae,1,26,0.00797376853714882,0.0174424190635103,1.7479094965772461
Rhizophoraceae,1,27,0.00797376853714882,0.017116363788800118,1.697981467238118
Celastraceae,6,407,0.00797376853714882,0.004408554213317134,1.5352530279475192
Trigoniaceae,1,31,0.00797376853714882,0.01597395819457689,1.5202428654924525
Malvaceae,22,2010,0.00797376853714882,0.0019837884697639905,1.4978941252972877
Caricaceae,1,34,0.00797376853714882,0.015252952995157823,1.405498081292141
Capparaceae,2,99,0.00797376853714882,0.008938729460517936,1.3680078045636304
Bonnetiaceae,1,36,0.00797376853714882,0.014823205861516968,1.3360139112715708
Metteniusaceae,1,37,0.00797376853714882,0.014621520193513354,1.303096958299243
Podocarpaceae,1,37,0.00797376853714882,0.014621520193513354,1.303096958299243
Hypericaceae,3,186,0.00797376853714882,0.006521341124877231,1.2505500885094745
Rhamnaceae,4,272,0.00797376853714882,0.0053927332479978786,1.2483676655602687
Passifloraceae,9,762,0.00797376853714882,0.0032219285466417603,1.1909808145491072
Connaraceae,2,119,0.00797376853714882,0.008153046320635425,1.0833931029645365
Euphorbiaceae,25,2574,0.00797376853714882,0.0017530290748426023,0.991849593548246
Loranthaceae,5,405,0.00797376853714882,0.004419426126776703,0.9892484566509772
Papaveraceae,1,50,0.00797376853714882,0.012577907260323392,0.9561393015503895
Lamiaceae,17,1724,0.00797376853714882,0.002142026106866343,0.8809511330937173
Magnoliaceae,2,139,0.00797376853714882,0.007543727468463569,0.8503383371550618
Malpighiaceae,12,1191,0.00797376853714882,0.0025771370209151895,0.8155554774245242
Ochnaceae,5,448,0.00797376853714882,0.004201983893816662,0.7584383541438956
Urticaceae,7,669,0.00797376853714882,0.003438589490880442,0.7240206037494704
Pinaceae,1,64,0.00797376853714882,0.011117404396137726,0.6882210262594458
Portulacaceae,1,64,0.00797376853714882,0.011117404396137726,0.6882210262594458
Commelinaceae,3,256,0.00797376853714882,0.005558702198068863,0.673715074024332
Dichapetalaceae,1,69,0.00797376853714882,0.010707025698628168,0.6088511664705193
Rosaceae,4,377,0.00797376853714882,0.00458060365534792,0.5755379065311766
Polygonaceae,4,383,0.00797376853714882,0.0045445826219224885,0.5435253131279353
Smilacaceae,1,79,0.00797376853714882,0.010006445740637075,0.4681441775003522
Heliconiaceae,2,191,0.00797376853714882,0.00643541719824927,0.38807672826748113
Erythroxylaceae,2,194,0.00797376853714882,0.0063854649510878304,0.36575407292287554
Nyctaginaceae,3,306,0.00797376853714882,0.005084317665052607,0.35996040217123115
Salicaceae,3,314,0.00797376853714882,0.0050191314092570905,0.31486953844741733
Cleomaceae,1,93,0.00797376853714882,0.009222569063662795,0.3013173027723068
Proteaceae,1,95,0.00797376853714882,0.009124972993450905,0.27973203363526183
Plantaginaceae,4,446,0.00797376853714882,0.004211394843776836,0.2362260878464308
Combretaceae,1,101,0.00797376853714882,0.008849784666208851,0.21777044691491707
Vitaceae,1,102,0.00797376853714882,0.008806296517691077,0.20782323509116626
Scrophulariaceae,1,106,0.00797376853714882,0.008638542172861656,0.16903242442797625
Asteraceae,77,9492,0.00797376853714882,9.128817515632623e-4,0.15152658917164322
Ebenaceae,1,119,0.00797376853714882,0.008153046320635425,0.05269107895311383
Elaeocarpaceae,1,131,0.00797376853714882,0.00777065705635743,-0.04377760444478303
Polemoniaceae,1,133,0.00797376853714882,0.007712009749697841,-0.05899519832498172
Calophyllaceae,1,135,0.00797376853714882,0.007654670591874585,-0.07398896176441645
Cucurbitaceae,3,394,0.00797376853714882,0.004480693936597762,-0.08024545846402757
Altingiaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Alzateaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Araucariaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Bataceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Coriariaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Corsiaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Cycadaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Datiscaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Dipterocarpaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Griseliniaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Guamatelaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Lepidobotryaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Mitrastemonaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Nelumbonaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Nitrariaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Paeoniaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Petenaeaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Plocospermataceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Quillajaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Sarcobataceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Setchellanthaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Simmondsiaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Stemonaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Surianaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Tecophilaeaceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Tetrachondraceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Ticodendraceae,0,1,0.00797376853714882,0.08893923516910181,-0.0896541163412092
Lythraceae,3,404,0.00797376853714882,0.004424892333104426,-0.12385068870295171
Asphodelaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Balsaminaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Ceratophyllaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Koeberliniaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Nyssaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Peridiscaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Saururaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Stemonuraceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Taxaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Tetrameristaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Tovariaceae,0,2,0.00797376853714882,0.06288953630161696,-0.1267900672523134
Anacampserotaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Euphroniaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Gelsemiaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Goodeniaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Iteaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Muntingiaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Nartheciaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Rhabdodendraceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Thurniaceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Zosteraceae,0,3,0.00797376853714882,0.05134909136640036,-0.1552854846106655
Anisophylleaceae,0,4,0.00797376853714882,0.044469617584550904,-0.1793082326824184
Cytinaceae,0,4,0.00797376853714882,0.044469617584550904,-0.1793082326824184
Mayacaceae,0,4,0.00797376853714882,0.044469617584550904,-0.1793082326824184
Ruppiaceae,0,4,0.00797376853714882,0.044469617584550904,-0.1793082326824184
Stegnospermataceae,0,4,0.00797376853714882,0.044469617584550904,-0.1793082326824184
Tapisciaceae,0,4,0.00797376853714882,0.044469617584550904,-0.1793082326824184
Winteraceae,0,4,0.00797376853714882,0.044469617584550904,-0.1793082326824184
Cornaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Crossosomataceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Cymodoceaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Francoaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Haemodoraceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Hamamelidaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Hydroleaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Juncaginaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Phyllonomaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Typhaceae,0,5,0.00797376853714882,0.039774835140990325,-0.20047269860161854
Apodanthaceae,0,6,0.00797376853714882,0.03630929071294929,-0.2196068383760817
Betulaceae,0,6,0.00797376853714882,0.03630929071294929,-0.2196068383760817
Menyanthaceae,0,6,0.00797376853714882,0.03630929071294929,-0.2196068383760817
Platanaceae,0,6,0.00797376853714882,0.03630929071294929,-0.2196068383760817
Achatocarpaceae,0,7,0.00797376853714882,0.03361587115053329,-0.2372024958520916
Cabombaceae,0,7,0.00797376853714882,0.03361587115053329,-0.2372024958520916
Columelliaceae,0,7,0.00797376853714882,0.03361587115053329,-0.2372024958520916
Gnetaceae,0,7,0.00797376853714882,0.03361587115053329,-0.2372024958520916
Schisandraceae,0,7,0.00797376853714882,0.03361587115053329,-0.2372024958520916
Frankeniaceae,0,8,0.00797376853714882,0.03144476815080848,-0.2535801345046268
Plumbaginaceae,0,8,0.00797376853714882,0.03144476815080848,-0.2535801345046268
Staphyleaceae,0,8,0.00797376853714882,0.03144476815080848,-0.2535801345046268
Calyceraceae,0,9,0.00797376853714882,0.029646411723033936,-0.26896234902362764
Cannaceae,0,9,0.00797376853714882,0.029646411723033936,-0.26896234902362764
Ixonanthaceae,0,9,0.00797376853714882,0.029646411723033936,-0.26896234902362764
Cyrillaceae,0,10,0.00797376853714882,0.028125055648771248,-0.28351120924794276
Microteaceae,0,10,0.00797376853714882,0.028125055648771248,-0.28351120924794276
Talinaceae,0,10,0.00797376853714882,0.028125055648771248,-0.28351120924794276
Tofieldiaceae,0,10,0.00797376853714882,0.028125055648771248,-0.28351120924794276
Fouquieriaceae,0,11,0.00797376853714882,0.026816188381553807,-0.2973490648146616
Sarraceniaceae,0,11,0.00797376853714882,0.026816188381553807,-0.2973490648146616
Ranunculaceae,1,170,0.00797376853714882,0.0068213279509563825,-0.3065994790177362
Onagraceae,2,312,0.00797376853714882,0.005035192670817965,-0.31051684197784973
Elatinaceae,0,12,0.00797376853714882,0.02567454568320018,-0.310570969221331
Haloragaceae,0,12,0.00797376853714882,0.02567454568320018,-0.310570969221331
Martyniaceae,0,12,0.00797376853714882,0.02567454568320018,-0.310570969221331
Ephedraceae,0,13,0.00797376853714882,0.024667305600211284,-0.3232525135246438
Hypoxidaceae,0,13,0.00797376853714882,0.024667305600211284,-0.3232525135246438
Boraginaceae,6,859,0.00797376853714882,0.003034567543735191,-0.32587919019666867
Aizoaceae,0,14,0.00797376853714882,0.02377001044603532,-0.3354549866627758
Basellaceae,0,14,0.00797376853714882,0.02377001044603532,-0.3354549866627758
Canellaceae,0,14,0.00797376853714882,0.02377001044603532,-0.3354549866627758
Dipentodontaceae,0,14,0.00797376853714882,0.02377001044603532,-0.3354549866627758
Garryaceae,0,14,0.00797376853714882,0.02377001044603532,-0.3354549866627758
Krameriaceae,0,16,0.00797376853714882,0.022234808792275452,-0.3586164653648368
Myricaceae,0,17,0.00797376853714882,0.021570932991991514,-0.36965339144621995
Resedaceae,0,17,0.00797376853714882,0.021570932991991514,-0.36965339144621995
Hydrocharitaceae,0,18,0.00797376853714882,0.020963178767205652,-0.38037020175694025
Molluginaceae,0,18,0.00797376853714882,0.020963178767205652,-0.38037020175694025
Ulmaceae,0,18,0.00797376853714882,0.020963178767205652,-0.38037020175694025
Cistaceae,0,19,0.00797376853714882,0.020404059906205967,-0.3907932330037695
Triuridaceae,0,19,0.00797376853714882,0.020404059906205967,-0.3907932330037695
Balanophoraceae,0,20,0.00797376853714882,0.019887417570495163,-0.4009453972032371
Putranjivaceae,0,20,0.00797376853714882,0.019887417570495163,-0.4009453972032371
Theaceae,0,21,0.00797376853714882,0.019408132257804172,-0.4108467744979685
Saxifragaceae,0,23,0.00797376853714882,0.018545112507969638,-0.4299660373439172
Nymphaeaceae,0,24,0.00797376853714882,0.018154645356474645,-0.4392136767521634
Potamogetonaceae,0,24,0.00797376853714882,0.018154645356474645,-0.4392136767521634
Linderniaceae,0,25,0.00797376853714882,0.017787847033820362,-0.44827058170604606
Caryocaraceae,0,26,0.00797376853714882,0.0174424190635103,-0.4571480886977436
Escalloniaceae,0,26,0.00797376853714882,0.0174424190635103,-0.4571480886977436
Juglandaceae,0,26,0.00797376853714882,0.0174424190635103,-0.4571480886977436
Cannabaceae,0,27,0.00797376853714882,0.017116363788800118,-0.46585645383199653
Schoepfiaceae,0,28,0.00797376853714882,0.016807935575266646,-0.4744049917041832
Liliaceae,0,29,0.00797376853714882,0.016515601351934705,-0.4828021921354223
Pontederiaceae,0,29,0.00797376853714882,0.016515601351934705,-0.4828021921354223
Amaryllidaceae,3,506,0.00797376853714882,0.003953831271594518,-0.5171982924257226
Cupressaceae,0,35,0.00797376853714882,0.0150334746030933,-0.5304009051578887
Melanthiaceae,0,36,0.00797376853714882,0.014823205861516968,-0.5379246980472553
Schlegeliaceae,0,37,0.00797376853714882,0.014621520193513354,-0.5453446995673047
Hydrangeaceae,0,39,0.00797376853714882,0.014241675528464748,-0.5598897770990287
Droseraceae,0,40,0.00797376853714882,0.014062527824385624,-0.5670224184958855
Gunneraceae,0,42,0.00797376853714882,0.013723621929658708,-0.5810250805522678
Peraceae,0,42,0.00797376853714882,0.013723621929658708,-0.5810250805522678
Chloranthaceae,0,43,0.00797376853714882,0.013563106209763337,-0.5879013563580989
Cyclanthaceae,1,228,0.00797376853714882,0.0058901447397046326,-0.6091197726743862
Montiaceae,0,48,0.00797376853714882,0.01283727284160009,-0.621141938442662
Violaceae,1,232,0.00797376853714882,0.005839146855663371,-0.6273902335594572
Phrymaceae,0,50,0.00797376853714882,0.012577907260323392,-0.6339503362615669
Zygophyllaceae,0,51,0.00797376853714882,0.01245398396959768,-0.6402584551749996
Vochysiaceae,1,238,0.00797376853714882,0.00576507434064934,-0.6542999520896116
Brunelliaceae,0,56,0.00797376853714882,0.01188500522301766,-0.6709099733255516
Burmanniaceae,0,57,0.00797376853714882,0.011780289479409265,-0.6768737348166314
Buxaceae,0,58,0.00797376853714882,0.011678293711326742,-0.682785408061375
Aquifoliaceae,1,247,0.00797376853714882,0.00565906801688189,-0.6936098893824842
Monimiaceae,0,60,0.00797376853714882,0.011482005887811876,-0.6944577990168911
Grossulariaceae,0,65,0.00797376853714882,0.011031554428766736,-0.7228145941387736
Clethraceae,0,66,0.00797376853714882,0.010947663063526247,-0.7283534842896842
Tropaeolaceae,0,68,0.00797376853714882,0.010785466495995757,-0.7393067828924399
Chrysobalanaceae,2,421,0.00797376853714882,0.004334633094924222,-0.7435865140916011
Lauraceae,7,1164,0.00797376853714882,0.0026068551500985217,-0.751872551341178
Juncaceae,0,79,0.00797376853714882,0.010006445740637075,-0.796863216353298
Styracaceae,0,79,0.00797376853714882,0.010006445740637075,-0.796863216353298
Santalaceae,2,443,0.00797376853714882,0.004225630585254188,-0.8185987348230284
Piperaceae,18,2748,0.00797376853714882,0.0016966217345692608,-0.8390498409469437
Actinidiaceae,0,90,0.00797376853714882,0.009375018549590415,-0.8505336277438282
Cunoniaceae,0,91,0.00797376853714882,0.009323365161741417,-0.8552457614627506
Sabiaceae,0,93,0.00797376853714882,0.009222569063662795,-0.8645929872800532
Oxalidaceae,1,290,0.00797376853714882,0.005222691719946979,-0.8665058015574001
Rapateaceae,0,95,0.00797376853714882,0.009124972993450905,-0.8738402341433429
Caryophyllaceae,1,296,0.00797376853714882,0.005169488040044666,-0.8889449251401567
Oleaceae,0,100,0.00797376853714882,0.008893923516910181,-0.8965411634120921
Thymelaeaceae,0,107,0.00797376853714882,0.00859808039457841,-0.9273893905640549
Geraniaceae,0,120,0.00797376853714882,0.008119004224895643,-0.9821116378654563
Burseraceae,1,323,0.00797376853714882,0.004948711422630446,-0.9856693770108597
Zamiaceae,0,126,0.00797376853714882,0.007923336815345107,-1.0063649599883273
Marcgraviaceae,0,134,0.00797376853714882,0.00768317970579423,-1.0378214284296179
Podostemaceae,0,135,0.00797376853714882,0.007654670591874585,-1.0416866985253366
Dioscoreaceae,1,348,0.00797376853714882,0.004767643443184024,-1.0697539317981992
Iridaceae,1,372,0.00797376853714882,0.004611284531831398,-1.1462308295339263
Apiaceae,1,386,0.00797376853714882,0.0045268878787185695,-1.189138124521671
Pentaphylacaceae,0,176,0.00797376853714882,0.006704047095388452,-1.1893962592586464
Fagaceae,0,183,0.00797376853714882,0.006574577445943108,-1.212818405853458
Alstroemeriaceae,0,188,0.00797376853714882,0.00648656039088514,-1.2292753102790026
Lentibulariaceae,0,190,0.00797376853714882,0.006452330281813245,-1.2357967104727965
Calceolariaceae,0,197,0.00797376853714882,0.0063366581339794475,-1.2583554877910479
Symplocaceae,0,197,0.00797376853714882,0.0063366581339794475,-1.2583554877910479
Loasaceae,0,202,0.00797376853714882,0.006257742749517005,-1.2742244058793026
Caprifoliaceae,0,204,0.00797376853714882,0.00622699198479884,-1.2805169103499991
Sapindaceae,3,802,0.00797376853714882,0.0031405535736091527,-1.3478898095126939
Begoniaceae,2,640,0.00797376853714882,0.003515631956096406,-1.3792025438671534
Brassicaceae,1,457,0.00797376853714882,0.004160401941653658,-1.3906311964197782
Marantaceae,1,461,0.00797376853714882,0.004142313151887087,-1.4012873791401659
Velloziaceae,0,253,0.00797376853714882,0.005591561807623828,-1.4260360184657113
Cyperaceae,6,1334,0.00797376853714882,0.0024350925704037163,-1.42746828394074
Clusiaceae,1,494,0.00797376853714882,0.0040015653699330914,-1.4867874167135222
Convolvulaceae,3,866,0.00797376853714882,0.0030222782408260984,-1.4921079214267978
Xyridaceae,0,280,0.00797376853714882,0.005315135918321507,-1.500200307138504
Araliaceae,1,507,0.00797376853714882,0.003949930105107719,-1.51936408738401
Orobanchaceae,0,312,0.00797376853714882,0.005035192670817965,-1.5836074324149911
Polygalaceae,1,554,0.00797376853714882,0.0037786660188094696,-1.6325111440962505
Crassulaceae,0,468,0.00797376853714882,0.004111217600035215,-1.9395150811478623
Acanthaceae,7,1818,0.00797376853714882,0.002085914249839002,-1.9767751713490742
Primulaceae,1,777,0.00797376853714882,0.003190677288671443,-2.0957203268061675
Asparagaceae,0,557,0.00797376853714882,0.003768476339085756,-2.115913122353126
Myrtaceae,8,2118,0.00797376853714882,0.0019325485471017286,-2.1715471470942447
Araceae,8,2345,0.00797376853714882,0.001836631239004535,-2.4840341278015803
Campanulaceae,0,779,0.00797376853714882,0.0031865787933526646,-2.502297622071179
Eriocaulaceae,0,806,0.00797376853714882,0.0031327509439793436,-2.5452928367871546
Ericaceae,0,858,0.00797376853714882,0.0030363354247728513,-2.626115834269311
Gesneriaceae,1,1158,0.00797376853714882,0.00261359993536942,-2.7204663508561473
Cactaceae,1,1372,0.00797376853714882,0.002401133653609521,-3.017285419533782
Poaceae,8,3114,0.00797376853714882,0.001593800968176648,-3.391091870060285
Melastomataceae,6,3687,0.00797376853714882,0.001464727453398052,-4.332839684394188
Bromeliaceae,1,3390,0.00797376853714882,0.001527543340970785,-5.0268840696404284
Orchidaceae,1,14302,0.00797376853714882,7.436952430209667e-4,-10.627805301233558
